===统计词频表===
| 不 |出现得到频次为： 140
| 人 |出现得到频次为： 115
| 风 |出现得到频次为： 113
| 山 |出现得到频次为： 100
| 一 |出现得到频次为： 96
| 江 |出现得到频次为： 90
| 无 |出现得到频次为： 88
| 日 |出现得到频次为： 86
| 水 |出现得到频次为： 81
| 云 |出现得到频次为： 78
| 花 |出现得到频次为： 75
| 春 |出现得到频次为： 72
| 有 |出现得到频次为： 70
| 上 |出现得到频次为： 69
| 来 |出现得到频次为： 68
| 天 |出现得到频次为： 68
| 中 |出现得到频次为： 67
| 年 |出现得到频次为： 67
| 长 |出现得到频次为： 64
| 何 |出现得到频次为： 63
| 秋 |出现得到频次为： 62
| 月 |出现得到频次为： 61
| 里 |出现得到频次为： 60
| 万 |出现得到频次为： 58
| 雨 |出现得到频次为： 57
| 白 |出现得到频次为： 54
| 自 |出现得到频次为： 53
| 今 |出现得到频次为： 53
| 城 |出现得到频次为： 52
| 夜 |出现得到频次为： 52
| 时 |出现得到频次为： 51
| 高 |出现得到频次为： 51
| 生 |出现得到频次为： 50
| 家 |出现得到频次为： 49
| 千 |出现得到频次为： 48
| 处 |出现得到频次为： 48
| 去 |出现得到频次为： 47
| 落 |出现得到频次为： 47
| 空 |出现得到频次为： 47
| 客 |出现得到频次为： 47
| 东 |出现得到频次为： 47
| 南 |出现得到频次为： 46
| 楼 |出现得到频次为： 46
| 相 |出现得到频次为： 45
| 寒 |出现得到频次为： 45
| 归 |出现得到频次为： 44
| 犹 |出现得到频次为： 43
| 是 |出现得到频次为： 43
| 为 |出现得到频次为： 43
| 事 |出现得到频次为： 42
| 成 |出现得到频次为： 41
| 未 |出现得到频次为： 41
| 如 |出现得到频次为： 41
| 君 |出现得到频次为： 39
| 门 |出现得到频次为： 39
| 心 |出现得到频次为： 39
| 老 |出现得到频次为： 38
| 烟 |出现得到频次为： 38
| 明 |出现得到频次为： 38
| 看 |出现得到频次为： 38
| 朝 |出现得到频次为： 38
| 已 |出现得到频次为： 38
| 三 |出现得到频次为： 38
| 开 |出现得到频次为： 38
| 愁 |出现得到频次为： 37
| 马 |出现得到频次为： 37
| 欲 |出现得到频次为： 37
| 尽 |出现得到频次为： 37
| 回 |出现得到频次为： 36
| 青 |出现得到频次为： 36
| 此 |出现得到频次为： 36
| 清 |出现得到频次为： 36
| 下 |出现得到频次为： 36
| 古 |出现得到频次为： 35
| 知 |出现得到频次为： 35
| 飞 |出现得到频次为： 35
| 西 |出现得到频次为： 35
| 黄 |出现得到频次为： 35
| 酒 |出现得到频次为： 34
| 地 |出现得到频次为： 34
| 书 |出现得到频次为： 34
| 草 |出现得到频次为： 33
| 闻 |出现得到频次为： 33
| 树 |出现得到频次为： 33
| 金 |出现得到频次为： 32
| 独 |出现得到频次为： 32
| 更 |出现得到频次为： 32
| 衣 |出现得到频次为： 32
| 谁 |出现得到频次为： 32
| 远 |出现得到频次为： 32
| 向 |出现得到频次为： 31
| 声 |出现得到频次为： 31
| 过 |出现得到频次为： 31
| 几 |出现得到频次为： 30
| 玉 |出现得到频次为： 30
| 新 |出现得到频次为： 30
| 香 |出现得到频次为： 30
| 将 |出现得到频次为： 30
| 流 |出现得到频次为： 30
| 得 |出现得到频次为： 30
| 到 |出现得到频次为： 29
| 阳 |出现得到频次为： 29
| 梦 |出现得到频次为： 29
| 多 |出现得到频次为： 29
| 头 |出现得到频次为： 29
| 作 |出现得到频次为： 29
| 北 |出现得到频次为： 28
| 百 |出现得到频次为： 28
| 难 |出现得到频次为： 28
| 雪 |出现得到频次为： 28
| 汉 |出现得到频次为： 28
| 出 |出现得到频次为： 27
| 可 |出现得到频次为： 27
| 见 |出现得到频次为： 27
| 海 |出现得到频次为： 27
| 身 |出现得到频次为： 27
| 前 |出现得到频次为： 26
| 叶 |出现得到频次为： 26
| 望 |出现得到频次为： 26
| 行 |出现得到频次为： 26
| 红 |出现得到频次为： 26
| 似 |出现得到频次为： 26
| 龙 |出现得到频次为： 26
| 道 |出现得到频次为： 25
| 色 |出现得到频次为： 25
| 雁 |出现得到频次为： 25
