===统计词频表===
| 不 |出现得到频次为： 96
| 人 |出现得到频次为： 92
| 一 |出现得到频次为： 91
| 山 |出现得到频次为： 87
| 风 |出现得到频次为： 86
| 日 |出现得到频次为： 83
| 水 |出现得到频次为： 77
| 月 |出现得到频次为： 73
| 天 |出现得到频次为： 71
| 无 |出现得到频次为： 69
| 秋 |出现得到频次为： 69
| 云 |出现得到频次为： 66
| 江 |出现得到频次为： 61
| 何 |出现得到频次为： 60
| 春 |出现得到频次为： 59
| 花 |出现得到频次为： 58
| 夜 |出现得到频次为： 58
| 归 |出现得到频次为： 57
| 长 |出现得到频次为： 54
| 来 |出现得到频次为： 54
| 空 |出现得到频次为： 52
| 落 |出现得到频次为： 50
| 白 |出现得到频次为： 48
| 有 |出现得到频次为： 48
| 清 |出现得到频次为： 48
| 年 |出现得到频次为： 47
| 流 |出现得到频次为： 46
| 相 |出现得到频次为： 45
| 里 |出现得到频次为： 44
| 城 |出现得到频次为： 44
| 客 |出现得到频次为： 44
| 心 |出现得到频次为： 44
| 生 |出现得到频次为： 43
| 时 |出现得到频次为： 43
| 雨 |出现得到频次为： 43
| 寒 |出现得到频次为： 43
| 中 |出现得到频次为： 43
| 入 |出现得到频次为： 41
| 明 |出现得到频次为： 38
| 树 |出现得到频次为： 38
| 万 |出现得到频次为： 38
| 自 |出现得到频次为： 37
| 君 |出现得到频次为： 37
| 远 |出现得到频次为： 37
| 未 |出现得到频次为： 36
| 飞 |出现得到频次为： 36
| 深 |出现得到频次为： 36
| 上 |出现得到频次为： 36
| 愁 |出现得到频次为： 35
| 行 |出现得到频次为： 35
| 见 |出现得到频次为： 35
| 重 |出现得到频次为： 34
| 尽 |出现得到频次为： 34
| 海 |出现得到频次为： 34
| 下 |出现得到频次为： 34
| 门 |出现得到频次为： 33
| 在 |出现得到频次为： 33
| 马 |出现得到频次为： 33
| 独 |出现得到频次为： 32
| 去 |出现得到频次为： 32
| 知 |出现得到频次为： 32
| 处 |出现得到频次为： 32
| 路 |出现得到频次为： 32
