===统计词频表===
| 万里 	==>出现得到频次为： 11
| 不知 	==>出现得到频次为： 6
| 落日 	==>出现得到频次为： 5
| 青山 	==>出现得到频次为： 5
| 故人 	==>出现得到频次为： 5
| 天涯 	==>出现得到频次为： 5
| 何时 	==>出现得到频次为： 4
| 天地 	==>出现得到频次为： 4
| 谁能 	==>出现得到频次为： 4
| 春风 	==>出现得到频次为： 4
| 寂寞 	==>出现得到频次为： 4
| 秋风 	==>出现得到频次为： 4
| 秋山 	==>出现得到频次为： 4
| 迢递 	==>出现得到频次为： 4
| 人间 	==>出现得到频次为： 4
| 春色 	==>出现得到频次为： 3
| 明日 	==>出现得到频次为： 3
| 平野 	==>出现得到频次为： 3
| 明月 	==>出现得到频次为： 3
| 明朝 	==>出现得到频次为： 3
| 桃花 	==>出现得到频次为： 3
| 无人 	==>出现得到频次为： 3
| 长歌 	==>出现得到频次为： 3
| 如何 	==>出现得到频次为： 3
| 长江 	==>出现得到频次为： 3
| 秋来 	==>出现得到频次为： 3
| 流水 	==>出现得到频次为： 3
| 白云 	==>出现得到频次为： 3
| 孤城 	==>出现得到频次为： 3
| 何事 	==>出现得到频次为： 3
| 秋水 	==>出现得到频次为： 3
| 黄叶 	==>出现得到频次为： 3
| 长吟 	==>出现得到频次为： 3
| 寒灯 	==>出现得到频次为： 3
| 千秋 	==>出现得到频次为： 3
| 浮云 	==>出现得到频次为： 3
| 不必 	==>出现得到频次为： 3
| 老去 	==>出现得到频次为： 3
| 沧江 	==>出现得到频次为： 3
| 将军 	==>出现得到频次为： 3
| 初日 	==>出现得到频次为： 3
| 惆怅 	==>出现得到频次为： 3
| 昨夜 	==>出现得到频次为： 3
| 相逢 	==>出现得到频次为： 3
| 凄凉 	==>出现得到频次为： 3
| 乾坤 	==>出现得到频次为： 3
| 不敢 	==>出现得到频次为： 3
| 不是 	==>出现得到频次为： 3
| 故园 	==>出现得到频次为： 3
| 何当 	==>出现得到频次为： 3
| 永怀 	==>出现得到频次为： 3
| 寒山 	==>出现得到频次为： 3
| 那堪 	==>出现得到频次为： 3
| 江山 	==>出现得到频次为： 3
| 回首 	==>出现得到频次为： 3
| 夕阳 	==>出现得到频次为： 3
| 侠客 	==>出现得到频次为： 2
| 一孤舟 	==>出现得到频次为： 2
| 生儿 	==>出现得到频次为： 2
| 非吾土 	==>出现得到频次为： 2
| 荷锄 	==>出现得到频次为： 2
| 军麾 	==>出现得到频次为： 2
| 处处 	==>出现得到频次为： 2
| 洞庭波 	==>出现得到频次为： 2
| 移家 	==>出现得到频次为： 2
